query,title,url,source,seendate,year
International Yoga Day,આંતરરાષ્ટ્રીય યોગ દિવસે યુએનના હેડક્વાર્ટરમાં પીએમ મોદીના નેતૃત્વમાં કાર્યક્રમ યોજાશે,https://www.gujaratsamachar.com/news/international/pm-narendra-modi-to-lead-yoga-session-at-un-headquarters-on-june-21,,20230616T121500Z,2023
International Yoga Day,International Yoga Day : Why it is India pride across the world | India News,https://timesofindia.indiatimes.com/india/international-yoga-day-why-it-is-indias-pride-across-the-world/articleshow/101158269.cms,,20230621T100000Z,2023
International Yoga Day,International Yoga Day 2023 : Modi to celebrate Yoga Day at UN Headquarters,https://www.business-standard.com/world-news/international-yoga-day-2023-modi-to-celebrate-yoga-day-at-un-headquarters-123062100241_1.html,,20230621T080000Z,2023
International Yoga Day,Flow Into Fun This June with Empowering International Yoga Day Celebrations at YogaSix,https://www.streetinsider.com/Business+Wire/Flow+Into+Fun+This+June+with+Empowering+International+Yoga+Day+Celebrations+at+YogaSix/21753304.html,,20230602T133000Z,2023
International Yoga Day,21ಕ್ಕೆ ವಿಶ್ವಸಂಸ್ಥೆಯಲ್ಲಿ ಯೋಗ ದಿನ : ಪ್ರಧಾನಿ ಮೋದಿ ಭಾಗಿ,https://www.udayavani.com/homepage-karnataka-edition/breaking-news/prime-minister-modi-will-participate-in-yoga-day-at-the-united-nations-on-21st,,20230617T023000Z,2023
International Yoga Day,"LIVE Updates | International Yoga Day 2023 : Importance , Significance , Theme And All About The 9th Yoga Day",https://zeenews.india.com/lifestyle/live-updates/international-yoga-day-2023-theme-wishes-whatsapp-messages-greeting-card-drawing-poster-speech-babaramdev-yoga-asana-health-benefits-tips-pm-modi-us-visit-on-yoga-day-latest-updates-2624282,,20230620T143000Z,2023
International Yoga Day,"PM Modi to Lead Yoga Session at UN Secretariat on June 21 , Says Shombi Sharp",https://www.news18.com/india/pm-modi-to-lead-yoga-session-at-un-secretariat-on-june-21-says-shombi-sharp-8072269.html,,20230613T183000Z,2023
International Yoga Day,PM Modi to lead yoga session at UN Secretariat on Jun 21 : Shombi Sharp,https://www.business-standard.com/india-news/pm-modi-to-lead-yoga-session-at-un-secretariat-on-jun-21-shombi-sharp-123061301244_1.html,,20230613T184500Z,2023
International Yoga Day,City to celebrate  Rashtriya Yogothsava  tomorrow,https://starofmysore.com/city-to-celebrate-rashtriya-yogothsava-tomorrow/,,20230605T163000Z,2023
International Yoga Day,"சர்வதேச யோகா தினம் : தமிழக கவர்னர் , மத்திய அமைச்சர்கள் யோகா நிகழ்ச்சியில் பங்கேற்பு",https://www.maalaimalar.com:443/news/national/tn-governor-performs-yoga-chidamaram-annamalai-university-625318,,20230621T040000Z,2023
International Yoga Day,आज अन्तर्राष्ट्रिय योग दिवस मनाइँदै | News from Nepal,https://www.ratopati.com/story/369619/yoga,,20230621T014500Z,2023
International Yoga Day,International Yoga Day Celebrations by Ojas Yoga and Wellness Align with  Health Happiness Harmony  Book Launch Inspiring a Holistic Approach to Inner Transformation,https://www.theweek.in/wire-updates/business/2023/06/15/dcm37-ojas-yoga-and-wellness.html,,20230615T113000Z,2023
International Yoga Day,UNGA President  looking forward  to celebrating Intl Yoga Day with PM Modi,https://www.prokerala.com/news/articles/a1428973.html,,20230616T064500Z,2023
International Yoga Day,"International Yoga Day 2023 : Theme , and 7 Health Benefits of Yoga",https://www.news18.com/lifestyle/theme-international-day-of-yoga-is-yoga-for-well-being-benefits-of-yoga-8107117.html,,20230618T071500Z,2023
International Yoga Day,Yoga is the constitution of existence,https://article.wn.com/view/2023/06/17/Yoga_is_the_constitution_of_existence/,,20230617T224500Z,2023
International Yoga Day,In Frames | International Day of Yoga 2023,https://www.thehindu.com/news/national/in-frames-international-day-of-yoga-2023/article66992269.ece,,20230621T034500Z,2023
International Yoga Day,"International Yoga Day 2023 : Date , Theme , History and significance",https://www.firstpost.com/world/international-yoga-day-2023-history-significance-and-all-you-need-to-know-12766942.html,,20230621T073000Z,2023
International Yoga Day,International Yoga Day 2023 : Malaika Arora Reveals the Many Benefits of Regular Yoga Practise in Her Recent Post,https://www.news18.com/lifestyle/health-and-fitness-international-yoga-day-2023-malaika-arora-reveals-the-many-benefits-of-regular-yoga-practise-in-her-recent-post-8134285.html,,20230621T091500Z,2023
International Yoga Day,International Yoga Day 2023 : How To Download And Send WhatsApp Stickers,https://www.oneindia.com/new-delhi/international-yoga-day-2023-how-to-download-and-send-whatsapp-stickers-3574533.html,,20230619T221500Z,2023
International Yoga Day,Digital Postcards To Create Yoga Awareness | Varanasi News,https://timesofindia.indiatimes.com/city/varanasi/digital-postcards-to-create-yoga-awareness/articleshow/101058101.cms,,20230617T051500Z,2023
International Yoga Day,  Like Vivekanada : Railways Minister high praise for PM Modi on International Yoga Day,http://aninews.in/news/national/general-news/like-vivekanada-railways-ministers-high-praise-for-pm-modi-on-international-yoga-day20230621171833/,,20230621T123000Z,2023
International Yoga Day,Schools to open on June 21 to celebrate Intl Yoga Day,https://www.dailypioneer.com/2023/state-editions/schools-to-open-on-june-21-to-celebrate-int---l-yoga-day.html,,20230615T124500Z,2023
International Yoga Day,印度台北協會慶國際瑜伽日 6 / 18邀你到兩廳院一起做瑜伽 - 臺北市,https://news.ltn.com.tw/news/Taipei/breakingnews/4333922,,20230614T123000Z,2023
International Yoga Day,印度台北協會慶國際瑜伽日 6 / 18邀你到兩廳院一起做瑜伽 - 生活,https://news.ltn.com.tw/news/life/breakingnews/4333922,,20230614T123000Z,2023
International Yoga Day,Celebrate health and peace on International Yoga Day this Wednesday,https://www.hawaiinewsnow.com/2023/06/17/celebrate-health-peace-international-yoga-day-this-wednesday/,,20230617T223000Z,2023
International Yoga Day,"International Yoga Day : Passengers , railway employees perform Yoga at Mumbai Central Station",https://news.webindia123.com/news/Articles/India/20230621/4091175.html,,20230621T144500Z,2023
International Yoga Day,"ಅಂತರಾಷ್ಟ್ರೀಯ ಯೋಗ ದಿನಾಚರಣೆ : ವಿಧಾನಸೌಧ ಮುಂಭಾಗ ಯೋಗ ಪ್ರದರ್ಶನ , ಸಚಿವ ಗುಂಡೂರಾವ್ , ನಟಿ ಅದಿತಿ ಪ್ರಭುದೇವ ಭಾಗಿ - Kannada Prabha",https://www.kannadaprabha.com/karnataka/2023/jun/21/minister-dinesh-gundurao-perform-yoga-in-bengaluru-to-mark-the-9th-international-yoga-day-496501.html,,20230621T074500Z,2023
International Yoga Day,"International Yoga Day : PM Modi Yoga Session At UN Headquarters , Theme , History , Significance ; All You Need To Know",https://www.outlookindia.com/national/international-yoga-day-pm-modi-s-yoga-session-at-un-headquarters-theme-history-significance-all-you-need-to-know-news-296549,,20230621T061500Z,2023
International Yoga Day,International Yoga Day : Governor RN Ravi participates in yoga program | சர்வதேச யோகா தினம் : யோகா நிகழ்ச்சியில் கவர்னர் ஆர் . என் . ரவி பங்கேற்பு,https://www.dailythanthi.com:443/News/State/international-yoga-day-governor-rn-ravi-participates-in-yoga-program-991189,,20230621T040000Z,2023
International Yoga Day,"3 - day training camp organized in Panchkula for International Yoga Day - 2023 , Panchkula News in Hindi",https://www.khaskhabar.com/local/haryana/panchkula-news/news-3-day-training-camp-organized-in-panchkula-for-international-yoga-day-2023-news-hindi-1-567516-KKN.html,,20230616T040000Z,2023
International Yoga Day,Is That Amish Doing Yoga ? ,https://www.rediff.com/news/report/is-that-amish-doing-yoga/20230621.htm,,20230621T100000Z,2023
