video_id,title,channel,upload_date,duration,view_count
6LNRlqp86yM,International Yoga Day 2024 centers on 'yoga for self and society',FOX40 News,20240621,290,2325
lF1mDjagcFw,Yoga For Self and Society | International Day of Yoga 2024,Ministry of Ayush,20240613,27,610
4g0kkebBowM,YOGA FOR SELF AND SOCIETY,Snigdha's podium ,20240620,367,274
Y8qXuYLvz10,Yoga day 2024. Theme -- YOGA FOR SELF AND SOCIETY #yogaday2024 #yogadayeveryday,Young minds at play,20240621,25,78
W8eP9ZZqofU,Yoga Day 2024 | Yoga for Self and Society,Ayursiha Hospital,20240622,60,30
PmCVcjloRj8,Yoga for self and society,Mediqueen Doctor Pageant 2024,20240621,60,3
BlyAhlQvF04,Yoga for Self and Society,EMPC-IGNOU,20250620,3597,362
xlQHn5hSciM,“Yoga for Self and Society | IYD 2025 Powerful Message” Theme: “Yoga for Self and Society”,GS CRAZE ,20250621,147,82
YnpWEXUA2WI,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240612,138,159
BrqZXHcffDA,10th International Day of Yoga - Yoga for self and Society ( LIVE ),ICCR IN SRI LANKA,20240622,4481,56
qrlR8JYSMu8,Provet Pharma | International Day of Yoga | Yoga for Self and Society | Sustainable farming practice,Provet Pharma Private Limited,20240621,41,49
KYKcxkZzHp8,“Kriya Yoga Meditation for a Happy and Successful Life” | World Meditation Day Talk By YSS Sannyasi,Yogoda Satsanga Society of India,20241222,3022,25900
-DrjPSadlrw,"International Yoga Day 2024 Video in Hindi || ""Yoga for Self and Society"" || Benefits of Yoga",SheelTalks,20240621,227,65
O3UzA-ItA0k,Essay on Yoga for self and society|Speech on yoga for self and society|International yoga Day Essay,kids fun Magic world,20240620,354,165
m7QwLD4I5iI,INTERNATIONAL YOGA DAY- 2024                        Theme:- YOGA FOR SELF AND SOCIETY.,Rakesh Burh,20240621,69,16
i-liV2oL3UM,Yoga day 2024,Prina Simariya,20250327,33,27
7axw1ORZhV8,Freedom from the Self: A Study of the Yoga Sutras with Ravi Ravindra - 2 | Theosophical Classic 2016,Theosophical Society,20260111,3576,695
LRHh5TvYyV0,happy international Yoga Day in 2024..... yoga for self and society.......,Vartika Pandey,20240620,183,137
ISu5u2-Q_Es,Essay/Speech on International Yoga Day 2024 Theme:Yoga for Self and Society Essay/Speech Yoga Day,Privi Creation,20240621,191,32
RZwNsXv-tWc,International Yoga Day 2024 | June 21| Yoga for self and society| Bhagyathaara,ARYATARA AYURNIKETAN,20240618,180,1047
YwMEcKsq_R0,Yoga for Self and Society,EMPC-IGNOU,20240620,3205,283
ozzlSxcDp6o,International Yoga Day with School Children - Yoga for Self and Society,Divya Sai Institute of Yoga & Therapy,20240622,535,32
3siCZ0OOmKw,Yoga for Self and Society #yogaeveryday #habuild #yogaday,Swastha,20240622,12,23
MS4cYZRrCd0,😍Happy International Yoga Day 🧘🏻‍♀️|  Yoga for self and society 💯 🕉️| Yoga Challenge,Pooja Arya,20240621,117,44
eVqSWsY_HpQ,10th International Yoga day celebration / Yoga for self and society #yogafirselfandsociety #yogaday,OM yoga,20240621,2465,32
Z-5cexT4CaI,Yoga for self and society,Global Writing Corner,20240614,283,4988
PMv5_AtWlzM,Yoga for self and society….international yoga day … join yogamahostav @ Nirvana Yoga Fitness Studio,Nirvana Yoga Fitness Studio,20240620,136,54
JwKIX0R01pk,Pre- International yoga day | ‘yoga for self and society’| boat pose |,Anjleen K,20240620,24,49
7jc1TMMnEbM,Freedom from the Self: A Study of the Yoga Sutras with Ravi Ravindra - 4 | Theosophical Classic 2016,Theosophical Society,20260125,3716,696
aIuo_SLGMVc,Yoga for Self and Society | International YOGA Day | PSP KALA NILAYAM #Internationalyogaday #yoga,PSP KALA NILAYAM,20240621,206,160
ARaE7X4CLoU,PM Modi on 'Yoga for Self and Society' at Int'l Yoga Day in Srinagar | Amaravati Today,AT World News,20240621,64,0
HH6Dy5uoTCg,"YOGA for SELF And society.. purified Thoughts, Strongly Bound Society",VIRENDRA DR,20240621,75,6
ShS9Lelo9V8,"Observed International Yoga Day 2024 under the theme: ""Yoga for Self and Society "".",Government Secondary School Hathidhunga ,20240622,112,95
BrTzLPa_GkA,Yoga for Self and Society  #Internationalyogaday2024 #yoga #yogaday2024,Crazy Videographer,20240619,478,43
WwaHfZiLoXk,international yoga day...yoga for self and society,Explore the divinity,20240626,193,8
TBxnBuUNiBE,International Day of Yoga: Yoga for Self and Society | NESWSD 2024,Navjeevan neswsd,20240621,172,24
WG4UmATp1Vs,Webinar on   Yoga for Self and Society   20th June 2024,IGNOU BANGALORE,20240620,2116,52
VwdQtYw-F6E,International Yoga Day - Yoga for self and society🧘🏻‍♀️ ​Prenatal Yoga sessions ⁠@nurturehospital,Nurture Hospital,20240621,228,255
0wJKeCwiNTM,"10th International Yoga Day , yoga for self and society 🙏",Rebootwithnidhi ,20240622,167,7
np32NBA0XiU,"Happy 10th International Yoda Day | Theme 2024 ""Yoga for Self and Society"" | DYTTITUDE",DYTTITUDE | Diet Yoga Attitude Dyttitude,20240621,40,55
ODuBxm5P1FQ,A talk with Charu on International Yoga Day - Yoga for Self and Society,Mokshalaya - by Kankana,20240621,685,333
Sehy0gAyv2k,“Yoga for self and society“Happy 10th international yoga day 2024.#yogaday2024 #internationalyogaday,Nakhipot yoga sadhana kendra lalitpur 14,20240621,24,4
qQYRdiv6Uzc,YOGA FOR SELF AND SOCIETY❤️@Iampraptimehta#youtube #youtuber #viral #viralvideo #subscribe #love 💯,RhythmDancePrapti Mehta ,20240623,134,124
Cg_MlYk1wFs,Yoga for Self and Society. Yoga Day 2024. Yog Yogi yoga.,Yog Yogi Yoga,20240620,158,288
Qq0eWeCLcpg,"Celebration of 10th International Yogaday.    Theme of 2024 ""Yoga for self and society""",Prince Academy,20240621,509,66
KS1lN6AJwCI,International yoga day I Yoga for self and Society 2024 theme #internationalyogaday #latestupdate,Srishti GK,20240621,235,7
ei6Ih8NTqb8,Yoga for Self and society #internationalyoga #trending #yoga#reiki #yogadayeveryday #trendingshorts,"Suman Malik – Poetry & Power , content writer",20240619,89,3
uVvfdG6YyZE,l Yoga For Self and Society l International Day of Yoga 2024 l YOGA FOR ALL | ShivatmaYog,Shivatma Yog,20240620,192,52
d-wau41ipnA,21st June 2024  II Yoga for Self and Society II 10th International Day of Yoga II DRIEMS University,Sushanta Sethy,20240622,152,17
mX5OESuWuH8,#yogaday2024 #idy2024 #yogaday Mod2024#yoga for self and society,9 A Girls Bn NCC Kurnool,20240619,32,11
WnpukzPVEqk,Yoga for Self and Society: SMSIMSR celebrates International Yoga Day 2024 #yogaday,Sri Madhusudan Sai Global Humanitarian Mission,20240621,79,2928
osGhDKjhHWU,"International Yoga Day(Yoga for Self and Society) - CGISF, Fremont, CA, USA",OurTrip Videos,20240629,47,29
2t7ODAaZeFY,How does Karma Yoga lead to self-realization? | Selfless Work - Pure Mind,Vedanta Society of New York,20241111,828,14607
6u8UCktloYQ,#Yoga Day 2024 #Paradeep Yoga for Self and Society,Biswajeet samal,20240621,350,28
qyUybl8AFCA,HAPPY INTERNATIONAL YOGA DAY - Yoga for Self and Society🧘‍♀️🧘‍♂️  @homemadebazaar,Homemade Bazaar,20240621,92,12
yNQaVDeRj0c,International Yoga Day # Yoga for self and society # 10th International Yoga day,Yoga Se Hi Hoga I Giirish Anand,20240621,239,15
V_qBVguvIkc,10th International Yoga Day Celebration (YOGA FOR SELF AND SOCIETY),Indian Yoga Techniques,20240621,3371,450
zSLdcsEe94g,Yoga for self and society#internationalyogaday#21st June#longestdayoftheyear,"YOGA,DANCE AND TRAVEL FREAK GIRLS(GhummakadLadies)",20240622,64,8
nKn8YaL_n2U,International yoga day 2024.(Yoga for self and Society 🕉✨,HWC Nandugaon,20240621,110,28
sm6QLZDPFyk,2024 theme- Yoga for Self and Society.,DAVians Unite,20240621,45,25
i0SD-sKy5VM,"Happy international yoga day 2024 theme// ""Yoga for Self and Society.#yoga #weightloss",Dipsikha Vlogs(Moon) ,20240621,231,11
x_xKEKJrVXo,"Yoga for Self and Society Essay, International Yoga Day Theme 2024",Studiously Yours,20240619,157,443
uoSnDX-C43w,GLIMPSE OF INTERNATIONAL YOGA  DAY. THEME: YOGA FOR SELF AND SOCIETY.  🧘‍♀️🧘,VIBGYORS EM SCHOOL MUMMIDIVARAM ,20240621,60,45
FKM4aOluMsI,International Day of Yoga 2025: How India Is Connecting The World Through Yoga | World News | WION,WION,20250621,239,1541
6Q2VsWvIFrg,Sivananda Yoga Class - International Day of Yoga | 21 June 2025,"Sivananda Yoga Centre, Gurgaon",20250621,5426,6465
ha8MlYhTXyg,International day of Yoga - IDY 2025,Indian Navy,20250621,69,4708
BdD0OyQyzEo,PM Modi Performs Yoga on International Yoga Day 2025 in Visakhapatnam | Full Event | 21 June 2025,Sansad TV,20250621,2806,4712
O8cNxp5PqKs,"International Day of Yoga 2025, Yoga for One Earth, One Health, History, Theme & Global Significance",Arihant Online Academy,20250612,264,5582
vhJC5aCBf-Q,ISC Qatar | Rhythmic Yoga Display during Int'l Day of Yoga 2025,Indian Sports Centre,20250624,355,56122
FW-XzwNO1Pw,📢International Day of Yoga 2025: Just 2⃣ Days to Go!🧘,PIB India,20250619,32,957
l9DWNZ0T4Dg,International Yoga 2025: India Leads Global Celebration Of Unity and Wellness | WION,WION,20250621,283,525
6Ab0gUuhs4w,Watch LIVE: International Day of Yoga 2025 at The Art of Living International Center,Art of Living International Center,20250621,3430,3130
LG4WlJNuAb0,IDY Reflections | Episode 1 | International Day of Yoga 2025,Ministry of Ayush,20250723,1494,978
20Fn-9Yrf6Y,International Yoga Day 2025 | Significance & Theme | UPSC Current Affairs | Drishti IAS,Drishti IAS,20250621,344,72330
CusuNrovDJc,One Earth One Health | International Day of #yoga 2025 Theme Explained by Ma. Hanumantharao Ji,Vivekananda Kendra,20250615,1263,2262
GYBNtNIqEvM,"Promo | International Day of Yoga 2025 | Yoga for One Earth, One Health | LIVE from Visakhapatnam",Doordarshan National,20250620,21,3178
pTpoIxe_3C8,📢International Day of Yoga 2025: 5⃣ Days to Go!🧘,PIB India,20250616,24,1086
xgI2t7Ig4dg,"Yoga Day 2025 | How International Yoga Day Was Celebrated Across India, World",NDTV,20250621,112,3669
laKrFedAIYs,"21 Jun 25: International Day of Yoga Celebration 2025 | 7 - 9 AM | Yoga Wellness Center, BANGALORE",Yoga Wellness Center,20250621,8536,1368
C_zFb_au-B8,"International Yoga Day 2025 | From India to the World, How Yoga Changed The Way We Live",Oneindia News,20250620,125,9437
bj1jqaSsXvM,International Yoga Day 2025: The Rise of the Yoga Economy,moneycontrol,20250621,303,8106
CJ35YXZ2z78,Yoga Day M G SANVI | international yoga day 2025 celebration | iDream News,iDream News,20250621,161,7110
X0f2R6H98BQ,INTERNATIONAL DAY OF YOGA & WORLD MUSIC DAY 2025,DPS MIYAPUR OFFICIAL,20250714,3677,2200
e47u4UDfWOg,International Yoga Day | 21June 2025,Brookfield Properties India ,20250620,81,27888
