video_id,title,channel,upload_date,duration,view_count,year
RZwNsXv-tWc,International Yoga Day 2024 | June 21| Yoga for self and society| Bhagyathaara,ARYATARA AYURNIKETAN,20240618,180,1047,2024
YwMEcKsq_R0,Yoga for Self and Society,EMPC-IGNOU,20240620,3205,283,2024
ozzlSxcDp6o,International Yoga Day with School Children - Yoga for Self and Society,Divya Sai Institute of Yoga & Therapy,20240622,535,32,2024
3siCZ0OOmKw,Yoga for Self and Society #yogaeveryday #habuild #yogaday,Swastha,20240622,12,23,2024
MS4cYZRrCd0,😍Happy International Yoga Day 🧘🏻‍♀️|  Yoga for self and society 💯 🕉️| Yoga Challenge,Pooja Arya,20240621,117,44,2024
eVqSWsY_HpQ,10th International Yoga day celebration / Yoga for self and society #yogafirselfandsociety #yogaday,OM yoga,20240621,2465,32,2024
Z-5cexT4CaI,Yoga for self and society,Global Writing Corner,20240614,283,4988,2024
PMv5_AtWlzM,Yoga for self and society….international yoga day … join yogamahostav @ Nirvana Yoga Fitness Studio,Nirvana Yoga Fitness Studio,20240620,136,54,2024
JwKIX0R01pk,Pre- International yoga day | ‘yoga for self and society’| boat pose |,Anjleen K,20240620,24,49,2024
aIuo_SLGMVc,Yoga for Self and Society | International YOGA Day | PSP KALA NILAYAM #Internationalyogaday #yoga,PSP KALA NILAYAM,20240621,206,160,2024
ARaE7X4CLoU,PM Modi on 'Yoga for Self and Society' at Int'l Yoga Day in Srinagar | Amaravati Today,AT World News,20240621,64,0,2024
HH6Dy5uoTCg,"YOGA for SELF And society.. purified Thoughts, Strongly Bound Society",VIRENDRA DR,20240621,75,6,2024
ShS9Lelo9V8,"Observed International Yoga Day 2024 under the theme: ""Yoga for Self and Society "".",Government Secondary School Hathidhunga ,20240622,112,95,2024
BrTzLPa_GkA,Yoga for Self and Society  #Internationalyogaday2024 #yoga #yogaday2024,Crazy Videographer,20240619,478,43,2024
WwaHfZiLoXk,international yoga day...yoga for self and society,Explore the divinity,20240626,193,8,2024
TBxnBuUNiBE,International Day of Yoga: Yoga for Self and Society | NESWSD 2024,Navjeevan neswsd,20240621,172,24,2024
WG4UmATp1Vs,Webinar on   Yoga for Self and Society   20th June 2024,IGNOU BANGALORE,20240620,2116,52,2024
VwdQtYw-F6E,International Yoga Day - Yoga for self and society🧘🏻‍♀️ ​Prenatal Yoga sessions ⁠@nurturehospital,Nurture Hospital,20240621,228,255,2024
0wJKeCwiNTM,"10th International Yoga Day , yoga for self and society 🙏",Rebootwithnidhi ,20240622,167,7,2024
np32NBA0XiU,"Happy 10th International Yoda Day | Theme 2024 ""Yoga for Self and Society"" | DYTTITUDE",DYTTITUDE | Diet Yoga Attitude Dyttitude,20240621,40,55,2024
ODuBxm5P1FQ,A talk with Charu on International Yoga Day - Yoga for Self and Society,Mokshalaya - by Kankana,20240621,685,333,2024
Sehy0gAyv2k,“Yoga for self and society“Happy 10th international yoga day 2024.#yogaday2024 #internationalyogaday,Nakhipot yoga sadhana kendra lalitpur 14,20240621,24,4,2024
qQYRdiv6Uzc,YOGA FOR SELF AND SOCIETY❤️@Iampraptimehta#youtube #youtuber #viral #viralvideo #subscribe #love 💯,RhythmDancePrapti Mehta ,20240623,134,124,2024
Cg_MlYk1wFs,Yoga for Self and Society. Yoga Day 2024. Yog Yogi yoga.,Yog Yogi Yoga,20240620,158,288,2024
Qq0eWeCLcpg,"Celebration of 10th International Yogaday.    Theme of 2024 ""Yoga for self and society""",Prince Academy,20240621,509,66,2024
KS1lN6AJwCI,International yoga day I Yoga for self and Society 2024 theme #internationalyogaday #latestupdate,Srishti GK,20240621,235,7,2024
ei6Ih8NTqb8,Yoga for Self and society #internationalyoga #trending #yoga#reiki #yogadayeveryday #trendingshorts,"Suman Malik – Poetry & Power , content writer",20240619,89,3,2024
uVvfdG6YyZE,l Yoga For Self and Society l International Day of Yoga 2024 l YOGA FOR ALL | ShivatmaYog,Shivatma Yog,20240620,192,52,2024
