video_id,in_phase2,in_v1,has_transcript,status
JqYSRv8QgRQ,False,True,True,legacy_only_with_transcript
JrNP58Rnnnc,False,True,False,legacy_only
JufwIJc5aSY,True,False,False,phase2_missing_transcript
JwKIX0R01pk,True,False,False,phase2_missing_transcript
JxVCCHqc72E,True,False,False,phase2_missing_transcript
JzSu7LoMK-Q,False,True,False,legacy_only
K-imIEL8f-A,False,True,True,legacy_only_with_transcript
K00r2GsUhic,True,False,False,phase2_missing_transcript
K1dIyFTac3E,False,True,True,legacy_only_with_transcript
K250wjFz26w,False,True,True,legacy_only_with_transcript
K6DyL2NQd0M,False,True,False,legacy_only
K7YeE3zSQdE,True,False,False,phase2_missing_transcript
KASKJeYSE20,True,False,False,phase2_missing_transcript
KBtBPuy9i58,False,True,False,legacy_only
KD25oCwj1go,False,True,False,legacy_only
KGwDpIzZjHQ,True,False,False,phase2_missing_transcript
KHLcgzhqEBY,False,True,False,legacy_only
KOBl2gMTsUI,True,False,False,phase2_missing_transcript
KRgUYC3RPYI,False,True,False,legacy_only
KS1lN6AJwCI,True,False,False,phase2_missing_transcript
KSfNu0GLFEU,False,True,False,legacy_only
KSzORKlymhM,True,False,False,phase2_missing_transcript
KYKcxkZzHp8,True,False,False,phase2_missing_transcript
KZa6YfdR4Vc,True,False,False,phase2_missing_transcript
Kaz144lzORY,True,False,False,phase2_missing_transcript
Kb1AW1eEdHM,False,True,False,legacy_only
KdZbk9_dtv0,False,True,False,legacy_only
KdvIc1OCv8A,False,True,True,legacy_only_with_transcript
Ke39MCav5Hs,True,False,False,phase2_missing_transcript
KebHab_tQJg,False,True,False,legacy_only
KgTyB6UNeUM,True,False,False,phase2_missing_transcript
Khql_TbVxcw,False,True,False,legacy_only
Kj0q3SRUM1A,False,True,True,legacy_only_with_transcript
KjmChKe8LEs,False,True,False,legacy_only
KmhrleAYyIo,False,True,True,legacy_only_with_transcript
KpTUm8DDK0s,False,True,False,legacy_only
Kq6KSPBrf3g,True,False,False,phase2_missing_transcript
KumH4WkJh0g,False,True,True,legacy_only_with_transcript
KvdAWtb4mVE,True,False,False,phase2_missing_transcript
KwuXXx_QTaE,True,False,False,phase2_missing_transcript
Kxc6ZCb0_yo,True,False,False,phase2_missing_transcript
KyMWQmiKzyk,True,False,False,phase2_missing_transcript
KzFoO6bxtpU,True,False,False,phase2_missing_transcript
L0aXO4QyAb0,False,True,False,legacy_only
L0rY29U5fvk,False,True,False,legacy_only
L2Lnc79vdBo,False,True,False,legacy_only
