video_id,captions_available,languages,auto_generated
xteGOc87tV8,True,en,True
hEvQgTEe5eY,True,en,True
aBw1tuS36HY,True,en,True
5MVOvOpQYOw,True,en,True
69w_iBdREDA,True,en,True
jKJWQkQWlTI,True,hi,True
hiYhJtcB1eg,True,en,True
lAzBdzQKjVw,True,hi,True
Fnm7zP9oKZc,True,en,True
OumubmGN4zo,True,hi,True
DPtEb0p905k,True,hi,True
y7ANpURzWsQ,True,hi,True
VXxv1V4_7qg,True,hi,True
uxx6xQuwAuM,True,en,True
vga8bkCMCEw,True,en,True
atUqSETYmmo,True,en,True
nvvUpRFYpZk,True,en,True
wMBxhXhRgoQ,True,hi,True
xOQ1qzDTq0o,True,en,True
20_bSi-V888,True,hi,True
qMOqrQLJch4,True,en,True
JmBgTeRirG8,True,kn,True
GqQu2ZW-rUA,True,en,True
JB-0zDl0UpQ,True,en,True
vU8m8teYroQ,True,hi,True
Wl1FCBaqLWk,True,hi,True
Bf97RqytioI,True,en,True
nQmVhIS8fJI,True,hi,True
acDFS8j7MCs,True,en,True
QuGLcWPyvRQ,True,en,True
UInzQ1ZCR0E,True,en,True
DJEJTvb-xI8,True,hi,True
KwuXXx_QTaE,True,hi,True
cQd85Evi0ak,True,en,True
D46TlqnV0hE,True,hi,True
2n0QnHGn6K4,True,en,True
6M0tonInnPo,True,bn,True
sR2S1gh9s30,True,en,True
IwZQp9Yq1TI,True,en,True
zXhyG_rJdko,True,en,True
uQg6BrQaXOM,True,"en,hi",True
8hUGNFsoGnA,True,hi,True
Ltpr7aSX6Cs,True,hi,True
mtE7UXC5mKo,True,en,True
pN4Wv_8DDT0,True,hi,True
NyvUjHDa0JY,True,ar,True
VLf_UT-d_Ao,True,en,True
YLY5hrkQgWY,True,hi,True
GNkzC89EQ2I,True,hi,True
Q1LCTtFX_Fs,True,hi,True
Iyx7desT8h8,True,hi,True
HUKYhsVz0wg,True,hi,True
Sh4ElhPZvNo,True,hi,True
5CcU1NqVTtc,True,hi,True
t_zfJ5nLQv8,True,en,True
3PKwdy_7Ttg,True,id,True
tFXn_fCk0Hw,True,hi,True
IWvpnj7A008,True,en,True
Kxc6ZCb0_yo,True,hi,True
R1Tv4clN98s,True,hi,True
vL9Ps7YIssE,True,kn,True
7ZNRXFCwYvE,True,hi,True
Ymi8Cov8hg0,True,en,True
mb54KIYrqHg,True,hi,True
-WmXnO98QYs,True,hi,True
Cw5sivofRbw,True,en,True
btBM0lRRwlQ,True,en,True
aM0kgKIz9UM,True,hi,True
Ayk9aXo54hk,True,en,True
AI0sgLI46MQ,True,en,True
T8HPu3QiNr0,True,bn,True
WAD8Wao5gQw,True,"en,en",True
IurZMHfUmsM,True,en,True
KzFoO6bxtpU,True,en,True
390e4OYx1i4,True,en,True
CD70KYY5YeQ,True,hi,True
e0WDBtTr7_o,True,hi,True
GJBWWrc5YSs,True,hi,True
V3M7z2b5Sx4,True,en,True
mZsX9tw8FoI,True,en,True
fsWitGfWyHI,True,fil,True
9nob14yzO-g,True,en,True
rn1Fsc4_x5o,True,hi,True
Plf5Dg4BVsI,True,hi,True
pBvrz1E2oXg,True,en,True
O9jEWwVDnyc,True,hi,True
O8YH7Hn5k4Y,True,en,True
dW9UwLVjvak,True,nl,True
msZiKp5fCyw,True,en,True
0ATwmzKsHts,True,hi,True
PBM7Fs03FuI,True,hi,True
8DeiE-23e38,True,hi,True
hlgCifQfPnk,True,hi,True
BMr7gRg_LV8,True,hi,True
uaT2AVAX42w,True,en,True
US9UELGrkWE,True,en,True
JOnY3xdokEc,True,hi,True
NHPENqo4x4M,True,hi,True
UG8DzCVxldI,True,hi,True
g8MvYG7afaE,True,hi,True
5oS0wVx9KAw,True,en,True
eeaerqpZd7g,True,hi,True
mmG4jDBWIsU,True,en,True
c8A_BkXMcKA,True,hi,True
50Qf3kJDUeE,True,en,True
dDGzam7WYEE,True,hi,True
RehqLdUGJlg,True,en,True
i4msUSBffpU,True,hi,True
w-ujgTZTT5Q,True,hi,True
JchDbzvsXAk,True,en,True
UdP_gGiIWq0,True,en,True
v29_ChZwR20,True,hi,True
HLo1lepnzGc,True,en,True
OfHrOE6t1h0,True,hi,True
Z4diFKcv3gE,True,hi,True
tjtwW0zGwBU,True,hi,True
FTNLwfGOjuU,True,hi,True
cphIHGmikOs,True,hi,True
