video_id,captions_available,languages,auto_generated
-4zfwCjtwQo,False,,False
r_s9fyqBDDg,True,en,True
zdIgtTxEzv8,True,en,True
lwld6izt6cA,True,en,True
ZKbE0otIDaE,True,en,True
BuMqyp2e69U,False,,False
gSBWffqHkss,False,,False
aQ3znaD0cCg,True,en,True
2m6v_njz3bo,False,,False
30QDbjhzBaI,False,,False
-qBsODoJEPU,True,hi,True
P5on4xVU2eQ,True,en,True
UqFEcKCGCRI,True,en,True
S0bIJVsW6kg,True,en,True
DMcqcYaidyw,True,ta,True
Uyr5O1Twadg,False,,False
dGKd7pdpdJ0,True,ko,True
cFooVAkqFiU,True,en,True
SPWeCdEFZDY,True,en,True
Fwnbqyr6nvM,False,,False
h_3xhGmBEW0,True,hi,True
GlkYMhn_IyY,True,en,True
rOp0boxgcHs,False,,False
i-Nuc_L4mio,True,hi,True
HV93s9jRkdY,True,gu,True
FMKB_BVupYA,True,hi,True
PuUFl4VchH8,True,hi,True
Uk2MNaV2cW8,True,my,True
VuWWSufO4as,True,hi,True
UxnQCbsBc2c,True,hi,True
lnnW0UvLkjw,True,hi,True
Dq5nE-NDJxU,True,hi,True
6u2Az-WuzVA,True,en,True
Ak0uTdv5kEo,True,hi,True
_uNzZEEOHsQ,False,,False
2kKVITRbaD4,True,en,True
T9W6XoM-x4A,True,hi,True
fZ269RBWrIg,True,hi,True
2ZYvUAqRYcA,True,en,True
PcRqCO_wOd4,True,en,True
GPhQyNUyx9c,False,,False
IezG36fLMoU,False,,False
riKrz4kinQM,True,hi,True
KyMWQmiKzyk,False,,False
KZa6YfdR4Vc,True,en,True
LQllvEizyM0,True,hi,True
v3j7ODYGd0s,True,hi,True
Xr7UpJjARrQ,True,en,True
uZLjeYZS9Ng,True,hi,True
hZkdJw2n5G4,True,hi,True
JXXZD1BQqBY,True,hi,True
GpWHLMVk0xU,True,en,True
8c5XwUaJ5ZE,True,hi,True
BfmTN-RJ9so,True,en,True
UZ8Er3yfWQQ,True,en,True
eio-fZMds7E,False,,False
Ctix1E-BF0s,True,te,True
J2Y1TJwWKyM,True,en,True
ILCTA8h9nMA,False,,False
FOpyG1xM0SE,False,,False
gZi7H-scLCA,True,hi,True
kMvjE4XbbSU,True,en,True
Is43iSzaa4I,True,hi,True
z0xjLB12GYY,True,en,True
zJFk62RSVVY,True,hi,True
5N24-_8xXQo,True,en,True
tAYDAz0xctI,True,en,True
cfSJh6lQGUM,False,,False
7v0PIHCXlUU,True,hi,True
SuZSLw-Pcw0,True,en,True
lmSGD0I_Xao,True,"fr,en",True
rUuJE4YEVMw,True,hi,True
EqpndsJf1Ng,False,,False
xsf1eHv_vSE,True,hi,True
_8IpP4tZP4k,True,ru,True
75BLUGP7kmE,True,en,True
WEjHA0rWaJ4,True,hi,True
WDhvcUSkggo,True,en,True
ucLh0_3oE6Y,True,en,True
hSPBcQJ4Tx8,True,en,True
u-ExPW6VGTE,True,en,True
U8Xap8TH2kM,True,en,True
xteGOc87tV8,True,en,True
hEvQgTEe5eY,True,en,True
aBw1tuS36HY,True,en,True
5MVOvOpQYOw,True,en,True
69w_iBdREDA,True,en,True
jKJWQkQWlTI,True,hi,True
hiYhJtcB1eg,True,en,True
lAzBdzQKjVw,True,hi,True
Fnm7zP9oKZc,True,en,True
OumubmGN4zo,True,hi,True
6UOIkxAUvyE,False,,False
efbMFVYfZhA,False,,False
0xBMWCpm-ZY,False,,False
DPtEb0p905k,True,hi,True
y7ANpURzWsQ,True,hi,True
VXxv1V4_7qg,True,hi,True
ahO5rVyXtBw,False,,False
niR_ZJu_Gc0,False,,False
vbj8NYZbiXI,False,,False
rjiuiSiihlE,False,,False
uxx6xQuwAuM,True,en,True
vga8bkCMCEw,True,en,True
atUqSETYmmo,True,en,True
nvvUpRFYpZk,True,en,True
wMBxhXhRgoQ,True,hi,True
xOQ1qzDTq0o,True,en,True
20_bSi-V888,True,hi,True
qMOqrQLJch4,True,en,True
JmBgTeRirG8,True,kn,True
sVSCtESeD4E,False,,False
lgw4BkLmugU,False,,False
srbLBHWzPIA,False,,False
GqQu2ZW-rUA,True,en,True
JB-0zDl0UpQ,True,en,True
APYeSdP7oOU,False,,False
AaancuXrLT0,False,,False
vU8m8teYroQ,True,hi,True
hhBk9OFBFWk,False,,False
FG6m2iBW7qQ,False,,False
Wl1FCBaqLWk,True,hi,True
Cce_0M4E7Nw,False,,False
Bf97RqytioI,True,en,True
nQmVhIS8fJI,True,hi,True
acDFS8j7MCs,True,en,True
QuGLcWPyvRQ,True,en,True
Fo9RonC90iQ,False,,False
UInzQ1ZCR0E,True,en,True
ELZoNtZEWp8,False,,False
DJEJTvb-xI8,True,hi,True
KwuXXx_QTaE,True,hi,True
cQd85Evi0ak,True,en,True
D46TlqnV0hE,True,hi,True
r9znsaHXTM0,False,,False
2n0QnHGn6K4,True,en,True
CiTE8F5tyqE,False,,False
6M0tonInnPo,True,bn,True
sR2S1gh9s30,True,en,True
IwZQp9Yq1TI,True,en,True
zXhyG_rJdko,True,en,True
uQg6BrQaXOM,True,"en,hi",True
8hUGNFsoGnA,True,hi,True
Ltpr7aSX6Cs,True,hi,True
mtE7UXC5mKo,True,en,True
pN4Wv_8DDT0,True,hi,True
NyvUjHDa0JY,True,ar,True
VLf_UT-d_Ao,True,en,True
YLY5hrkQgWY,True,hi,True
jZeHD7ysyfw,False,,False
GNkzC89EQ2I,True,hi,True
Q1LCTtFX_Fs,True,hi,True
Iyx7desT8h8,True,hi,True
HUKYhsVz0wg,True,hi,True
Sh4ElhPZvNo,True,hi,True
5CcU1NqVTtc,True,hi,True
t_zfJ5nLQv8,True,en,True
3PKwdy_7Ttg,True,id,True
tFXn_fCk0Hw,True,hi,True
IWvpnj7A008,True,en,True
9EeNQztW8_U,False,,False
Kxc6ZCb0_yo,True,hi,True
R1Tv4clN98s,True,hi,True
vL9Ps7YIssE,True,kn,True
7ZNRXFCwYvE,True,hi,True
Md-GXKtjP5E,False,,False
Ymi8Cov8hg0,True,en,True
mb54KIYrqHg,True,hi,True
-WmXnO98QYs,True,hi,True
epQ8hqrqMrg,False,,False
Cw5sivofRbw,True,en,True
btBM0lRRwlQ,True,en,True
WAfOhlCp914,False,,False
aM0kgKIz9UM,True,hi,True
Ayk9aXo54hk,True,en,True
jbwx4QGkqVo,False,,False
AI0sgLI46MQ,True,en,True
WSqRYyKPWeY,False,,False
T8HPu3QiNr0,True,bn,True
dqBIj2O3Pdk,False,,False
LwazVRH0UHQ,False,,False
8BplbqsU2sU,False,,False
WAD8Wao5gQw,True,"en,en",True
IurZMHfUmsM,True,en,True
jf2XPQlp4-M,False,,False
KzFoO6bxtpU,True,en,True
390e4OYx1i4,True,en,True
AB2GZqYMZOU,False,,False
CD70KYY5YeQ,True,hi,True
e0WDBtTr7_o,True,hi,True
GJBWWrc5YSs,True,hi,True
kpdfHJ7x0dY,False,,False
V3M7z2b5Sx4,True,en,True
mZsX9tw8FoI,True,en,True
7D2yQHi2Z-U,False,,False
owcFlE2oe5o,False,,False
fsWitGfWyHI,True,fil,True
9nob14yzO-g,True,en,True
rn1Fsc4_x5o,True,hi,True
Plf5Dg4BVsI,True,hi,True
pBvrz1E2oXg,True,en,True
O9jEWwVDnyc,True,hi,True
O8YH7Hn5k4Y,True,en,True
dW9UwLVjvak,True,nl,True
msZiKp5fCyw,True,en,True
0ATwmzKsHts,True,hi,True
PBM7Fs03FuI,True,hi,True
fhX153rnFa8,False,,False
8DeiE-23e38,True,hi,True
hlgCifQfPnk,True,hi,True
BMr7gRg_LV8,True,hi,True
uaT2AVAX42w,True,en,True
US9UELGrkWE,True,en,True
JOnY3xdokEc,True,hi,True
NHPENqo4x4M,True,hi,True
UG8DzCVxldI,True,hi,True
g8MvYG7afaE,True,hi,True
5oS0wVx9KAw,True,en,True
SyserxPSx1U,False,,False
tsEUXXI4QHs,False,,False
eeaerqpZd7g,True,hi,True
mmG4jDBWIsU,True,en,True
c8A_BkXMcKA,True,hi,True
Kaz144lzORY,False,,False
50Qf3kJDUeE,True,en,True
dDGzam7WYEE,True,hi,True
RehqLdUGJlg,True,en,True
i4msUSBffpU,True,hi,True
w-ujgTZTT5Q,True,hi,True
JchDbzvsXAk,True,en,True
UdP_gGiIWq0,True,en,True
v29_ChZwR20,True,hi,True
HLo1lepnzGc,True,en,True
OfHrOE6t1h0,True,hi,True
Z4diFKcv3gE,True,hi,True
e7HIxPFbmbI,False,,False
tjtwW0zGwBU,True,hi,True
FTNLwfGOjuU,True,hi,True
cphIHGmikOs,True,hi,True
oPleUTwnEt4,False,,False
QPsMAwSiZVk,True,hi,True
44PPtRBjkuE,True,hi,True
PlxXjJjsaKw,True,en,True
0Uxhco6qwFo,True,en,True
QLXIv_0bvEw,True,en,True
4iCvX3DfXVc,True,en,True
EHX1-Dj2IXM,True,en,True
deco9KHty04,True,en,True
MADy-oiozFw,True,en,True
EXqpq6rrAjE,True,hi,True
V33bIkpFR1A,True,en,True
IDneMM3JEFM,False,,False
vIA-IAAlZSg,False,,False
hl3lWfLfDwA,False,,False
ECI11uKvmG4,True,en,True
tYr0q8HLkQY,True,hi,True
FJM8kEO2mPY,True,en,True
6u_xoU2AOdo,True,en,True
AgBX2c7w7Ts,True,en,True
oNomHQfTA_M,False,,False
Y69md6XRncU,True,hi,True
GTYUovcslV0,True,en,True
HXEc6RYpWf4,False,,False
hg6HLBWpbcM,True,en,True
ZyL0KYXzLUk,True,hi,True
Z09qEkLoVeo,True,hi,True
ILYKKso4dfE,True,en,True
RU5dR1NyP8s,True,en,True
XRmDFoEIk8I,True,hi,True
mopEtlHBDw8,True,en,True
SbIc8gISJCQ,False,,False
v9QMhGittCM,True,hi,True
OghYPFzSChg,True,en,True
