video_id,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,has_transcript,word_count,status,cluster
6qYYbjmn6LM,International Yoga Day Special Quiz - International Day of Yoga Quiz 2024- Most Important Questions,MOM&MISHKA,20240614,486.0,3922,phase2,,,,,True,,transcript_available,9
OcKTF01z-JM,"Yoga Dance | International Yoga Day 2021 | Sanjeevanam Ayurveda Hospital, Kochi, Kerala","Sanjeevanam Ayurveda Hospital Kochi, Kerala",20210621,161.0,449937,phase2,,,,,True,,transcript_available,1
lRC3UxJF3ZM,International Yoga Day 2024,Kadamba International School(KIS) ,20240626,1398.0,1948,phase2,,,,,True,,transcript_available,9
ALhIfbtNLcg,"International Yoga Day 2024 || Theme - ""Yoga for Self and Society"" || Benefits of Yoga",SheelTalks,20240620,188.0,562,phase2,,,,,True,,transcript_available,4
bJgAp7SRgMk,Yoga day 21 June 2024 | Yoga day celebration,yogamates,20260106,338.0,9138,phase2,,,,,True,,transcript_available,7
yO0OUE_6WLM,INTERNATIONAL DAY OF YOGA :-                    21 JUNE 2024 #yoga  #internationaldayofyoga2024,AGRASEN DAVPS,20240621,239.0,1618,phase2,,,,,True,,transcript_available,1
UHhXcXrHbFA,International Yoga Day 2024 Special | Yoga With Smita | Yoga for Kids,Smita Bansal #Smitasb,20240621,259.0,1396,phase2,,,,,True,,transcript_available,1
Us69_36cjg0,"PM Modi Yoga Day News | International Yoga Day 2024 Celebrations | Banks of Dal Lake, Srinagar",CNN-News18,20240621,595.0,609,phase2,,,,,True,,transcript_available,2
cJEAK5Qks9U,International Day of Yoga 2025: Embracing the Ancient Tradition for Holistic Health,NYC DESI  एनवाईसी देसी,20250623,250.0,4012,phase2,,,,,True,,transcript_available,1
zqsQ3SLkbgU,International Yoga Day 2024 | UPSC | Daily Current News | Drishti IAS,Drishti IAS,20240621,184.0,22207,phase2,,,,,True,,transcript_available,2
30unmx881Ag,PM Modi Addresses Nation From Srinagar On International Yoga Day 2024 | India Today News,India Today,20240621,664.0,5868,phase2,,,,,True,,transcript_available,2
SFMN1XdD8_E,International Yoga Day Celebrations 2024 - Antyodaya Yoga- Yoga for self & society,"Antyodaya Yoga Studio | International Yoga Teacher Training School, Yoga Alliance, US |",20240621,182.0,623,phase2,,,,,True,,transcript_available,1
k1o-qz6eCik,Glimpse of International Yoga day 2024 @ Government ITI Hapur | अंतरराष्ट्रीय योग दिवस 2024,Gurukul E-School,20240621,175.0,1723,phase2,,,,,True,,transcript_available,1
uddfLWI0nRY,Yoga Dance | International Yoga Day | By Yoga Group Barwaha,Anushree Atre,20240620,417.0,597661,phase2,,,,,True,,transcript_available,1
xVg2c3gOQFY,Namaste Yoga | Yoga Day 2024 | Promo,India Today,20240620,31.0,3699,phase2,,,,,True,,transcript_available,4
FNdSkS0tTCQ,International Yoga Day 2024: 'Yoga & Ayurveda'- Celebrating India's gift to mankind | WION Promo,WION,20240531,43.0,9277,phase2,,,,,True,,transcript_available,4
K00r2GsUhic,"""Yoga for All: Celebrating International Yoga Day with Youth Veerangnayen""",Youth Veerangnayen,20240625,245.0,34361,phase2,,,,,True,,transcript_available,7
OCyFGMOFKt8,Celebrating International Yoga Day 2024: Power Of Meditation And Mindfulness | India Today News,India Today,20240621,863.0,1778,phase2,,,,,True,,transcript_available,0
bnKWCuyZQy0,Yoga for Self and Society | IDY 2024 with YENRI,YENRI,20240621,3368.0,138,phase2,,,,,True,,transcript_available,6
hJbRpHZr_d0,Yoga For Anxiety and Stress,Yoga With Adriene,20151223,1674.0,13373093,phase2,,,,,True,9314.0,transcript_available,6
CgmAmbaWiec,Yoga for self and society,Sailor Today,20240621,4812.0,128,phase2,,,,,True,,transcript_available,2
52rs7XGbJvc,🌿 Yoga for Self and Society,SPEFL-SC,20240624,4355.0,93,phase2,,,,,True,,transcript_available,2
-_Zn3F279mM,Yoga -  For Self and Society,B Positive,20240730,65.0,23,phase2,,,,,True,,transcript_available,4
-NghXPxXi-M,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240618,208.0,208,phase2,,,,,True,,transcript_available,6
7BJ-YJ6qcIo,🧘‍♀️ International Yoga Day 2025 | Yoga for Self and Society 🧘‍♂️,The actual me ,20251029,1954.0,341,phase2,,,,,True,,transcript_available,2
LcXwLEEJRzo,"International Yoga Day 2024 theme is""Yoga for Self and Society""#yogaforselfandsociety #idy@mdniyyoga",Yoga by Geet,20240621,241.0,120,phase2,,,,,True,,transcript_available,2
U9beCVRmpCc,International Day of Yoga 2024 - YOGA FOR SELF AND SOCIETY,Yogadvika,20240621,79.0,62,phase2,,,,,True,,transcript_available,1
r7xdgnDNlDM,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240617,182.0,269,phase2,,,,,True,,transcript_available,1
fRuY9gdDD3c,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240619,244.0,481,phase2,,,,,True,,transcript_available,1
-pOwf3m8HBE,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240615,141.0,254,phase2,,,,,True,,transcript_available,1
elZ98SR4PNM,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240618,148.0,178,phase2,,,,,True,,transcript_available,1
