video_id,filename,filepath,priority,word_count,character_count
NTpkt3ylNmE,NTpkt3ylNmE.txt,data/transcripts/NTpkt3ylNmE.txt,4,84,429
NV3VHS_AFJQ,NV3VHS_AFJQ.en-orig.txt,data/transcripts/NV3VHS_AFJQ.en-orig.txt,1,25831,134361
NtXNYs1lPVU,NtXNYs1lPVU.en.txt,data/transcripts/NtXNYs1lPVU.en.txt,2,2297,12587
Ntf9bQiO1p0,Ntf9bQiO1p0.en-orig.txt,data/transcripts/Ntf9bQiO1p0.en-orig.txt,1,1968,9970
Nx5f0OZT3Fo,Nx5f0OZT3Fo.en-orig.txt,data/transcripts/Nx5f0OZT3Fo.en-orig.txt,1,506,3089
O1R4HTgdC-A,O1R4HTgdC-A.en-orig.txt,data/transcripts/O1R4HTgdC-A.en-orig.txt,1,123,629
O7KtXWEzXCQ,O7KtXWEzXCQ.txt,data/transcripts/O7KtXWEzXCQ.txt,4,624,3743
O9cJozJBK_w,O9cJozJBK_w.txt,data/transcripts/O9cJozJBK_w.txt,4,843,3874
OEBcG4-_SY4,OEBcG4-_SY4.txt,data/transcripts/OEBcG4-_SY4.txt,4,115,552
OUvg2rnnn-M,OUvg2rnnn-M.txt,data/transcripts/OUvg2rnnn-M.txt,4,1022,5430
Ofx6MXZZ6EE,Ofx6MXZZ6EE.en-orig.txt,data/transcripts/Ofx6MXZZ6EE.en-orig.txt,1,143,777
P0poLjDMKwQ,P0poLjDMKwQ.en.txt,data/transcripts/P0poLjDMKwQ.en.txt,2,863,5087
PD8oFGFK-5w,PD8oFGFK-5w.en-orig.txt,data/transcripts/PD8oFGFK-5w.en-orig.txt,1,363,1751
PNymhlAUL1M,PNymhlAUL1M.txt,data/transcripts/PNymhlAUL1M.txt,4,439,2584
PZqkX1mJ7qk,PZqkX1mJ7qk.txt,data/transcripts/PZqkX1mJ7qk.txt,4,1466,9024
PoHxH7BWxig,PoHxH7BWxig.en-orig.txt,data/transcripts/PoHxH7BWxig.en-orig.txt,1,7,45
