video_id,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,has_transcript,word_count_x,status,filename,word_count_y,character_count
rtF8Y8JOMdQ,International Yoga Day  | PM Modi Performs Yoga With 35000 People At Rajpath | NTV,NTV Telugu,20150621,1086.0,1730,v1,NTV Telugu,,https://www.youtube.com/watch?v=rtF8Y8JOMdQ,"Prime Minister Narendra Modi performed Yoga with 35000 people at Rajpath on International Yoga Day celebrations.

Watch NTV Telugu News Channel, popular Telugu News channel which also owns India's first women's channel Vanitha TV, and India's most popular devotional channel Bhakti TV.

For more latest updates on news :  
► Subscribe to NTV News Channel: http://goo.gl/75PJ6m
► Like us on Facebook: http://www.facebook.com/NtvTelugu
► Follow us on Twitter At : http://www.twitter.com/ntvteluguhd
► Circle us on NTV News Channel G+: http://goo.gl/sJy2d8",True,6616.0,transcript_available,rtF8Y8JOMdQ.en.txt,6616,37913
DKkBGHhDQWk,In pics: How Yoga enthusiasts celebrate International Yoga Day,NYOOOZ TV,20160621,79.0,753,v1,NYOOOZ TV,,https://www.youtube.com/watch?v=DKkBGHhDQWk,The excitement of second International Yoga Day can be witnessed all over the world. Thousands of yoga lovers from all walks of life rolled out mats early in the morning to bend and twist their bodies in complex postures to mark the second International Day of Yoga.,True,182.0,transcript_available,DKkBGHhDQWk.en-orig.txt,182,1026
K-imIEL8f-A,Jessica's Gentle Yoga for Neck and Shoulders,Centerpeace Yoga and Wellness,20150218,178.0,87,v1,Centerpeace Yoga and Wellness,1.0,https://www.youtube.com/watch?v=K-imIEL8f-A,"Tune-In and Tune-Up your neck and shoulders! Jessica demonstrates a gentle yoga sequence meant to relieve stress, invite the breath, and ease tension in the upper body. Join her for Gentle/Moderate level yoga classes at Centerpeace Yoga and Wellness (Kent, Ohio) every Tuesday and Thursday at 10am. CenterpeaceKent.com",True,146.0,transcript_available,K-imIEL8f-A.en-orig.txt,146,902
Jn-uO_LUG54,Resource Persons from ASEAN Discuss Problem-Based Learning,DLF eSchool,20161110,228.0,24,v1,DLF eSchool,,https://www.youtube.com/watch?v=Jn-uO_LUG54,"Thailand Education toward ASEAN
News&Notes 2015


Created by DLFeSchool
www.dlfeschool.in.th",True,1094.0,transcript_available,Jn-uO_LUG54.en-orig.txt,1094,6831
GQPYZ2pMPAo,"श्री तुकाराम महाराज पालखी सोहळा,बैलजोडी कुणाची ?",Metro News,20170530,137.0,132298,v1,Metro News,124.0,https://www.youtube.com/watch?v=GQPYZ2pMPAo,"Note: - Full Credit to Owners.
All Images, Picture, Music show in the video belongs to the respected owners.

Disclaimer: - This channel DOST NOT promotes or encourages any illegal activities and all content provided by this channel is meant for EDUCATIONAL PURPOSE only.

Copyright Disclaimer: - Under section 107 of the copyright Act 1976, allowance is mad for FAIR USE for purpose such a as criticism, comment, news reporting, teaching, scholarship and research.
Fair use is a use permitted by copyright statues that might otherwise be infringing. Non- Profit, educational or personal use tips the balance in favor of FAIR USE.



श्री संत तुकाराम महाराज पालखी सोहळ्यासाठी पालखी रथ ओढण्याची सेवा मिळावी यासाठी पुणे जिल्ह्यातील 17 आणि  सातारा जिल्ह्यातील एक बैल जोडी मालकांनी श्री संत तुकाराममहाराज संस्थानकडे अर्ज केले असल्याची माहिती पालखी सोहळा प्रमुख सुनील दिगंबर मोरे यांनी दिली.",True,43.0,transcript_available,GQPYZ2pMPAo.en.txt,43,135
7WPQ2ekm7ZM,FBC News  1 06 15,FBC TV,20150601,1397.0,973,v1,FBC TV,4.0,https://www.youtube.com/watch?v=7WPQ2ekm7ZM,,True,9838.0,transcript_available,7WPQ2ekm7ZM.en-orig.txt,9838,56349
Qthn_19_aHM,"Marichyasana 1 with Lois Steinberg,  Certified Iyengar Yoga Teacher Advanced 2",Roads To Bliss,20150911,206.0,21649,v1,Roads To Bliss,141.0,https://www.youtube.com/watch?v=Qthn_19_aHM,"Pose Dedicated to the Sage Marichi I (Marichi is the great-grandfather of Manu (“man, thinking, intelligent”), the Vedic Adam, and the “father” of humanity.  With Lois Steinberg, Ph.D. Certified Iyengar Yoga Teacher Advanced 2);  visit Lois' website to learn about her work, books and workshops at http://yoga-cu.com",True,1593.0,transcript_available,Qthn_19_aHM.en-orig.txt,1593,8236
nma3F37U1iw,Balance Yoga & Wellness: Beginner Series,Balance Yoga & Wellness,20150527,120.0,387,v1,Balance Yoga & Wellness,2.0,https://www.youtube.com/watch?v=nma3F37U1iw,"Join us for our next 6 week beginner's series and begin your yogic journey with confidence

https://balancenepa.com/",True,1088.0,transcript_available,nma3F37U1iw.en-orig.txt,1088,5715
ZbicnLm4Upw,"North Park University Women's Basketball vs. IIT Dec. 3, 2015",North Park University Athletics,20151204,148.0,110,v1,North Park University Athletics,,https://www.youtube.com/watch?v=ZbicnLm4Upw,,True,1605.0,transcript_available,ZbicnLm4Upw.txt,1605,8173
kf5vQsizv4Q,Yoga Session From OrionEdutech Sonarpur On 21st June 2016,Deepankar Dutta,20160623,46.0,63,v1,Deepankar Dutta,,https://www.youtube.com/watch?v=kf5vQsizv4Q,,True,14.0,transcript_available,kf5vQsizv4Q.en.txt,14,102
ohIQbrp5ifg,"2015 International Women’s Day Focuses On Women Empowerment, Service To Humanity",Channels Television,20150309,116.0,34,v1,Channels Television,,https://www.youtube.com/watch?v=ohIQbrp5ifg,"More emphasis have been laid on the need for Women Empowerment and Service to Humanity, as the world marks the 2015 International Women’s Day.
For more information log on to http://www.channelstv.com",True,779.0,transcript_available,ohIQbrp5ifg.en-orig.txt,779,4411
jjIdKAP6PEM,CALMING PM FLOW | yoga for peace & strength,Eliza Coolsma,20150825,1257.0,1371,v1,Eliza Coolsma,20.0,https://www.youtube.com/watch?v=jjIdKAP6PEM,"♡ http://www.elizacoolsma.com/
♡ https://www.facebook.com/pages/Yoga-at-the-Park-Madrid/203060286382889",True,7130.0,transcript_available,jjIdKAP6PEM.en-orig.txt,7130,36900
bLV-SO_FDbA,Jogging #idy2023,Lambodar Padhan,20230625,10.0,1950,v1,Lambodar Padhan,26.0,https://www.youtube.com/watch?v=bLV-SO_FDbA,,True,6.0,transcript_available,bLV-SO_FDbA.en.txt,6,43
