video_id,title,channel,upload_date,duration,view_count,year,priority
h6BWo6jsiLA,Discover the astonishing benefits of making Yoga a part of your daily routine | #MannKiBaat,Narendra Modi,20230618,102,3554,2023,1.0
riKrz4kinQM,Yoga Day Protocol : Quick View | IDY 2025 | Nirogi Duniya,Nirogi Duniya,20250519,120,3529,2025,1.0
nKiZsVg8doE,Dr Tony Nader´s presentation - International Day of Yoga 2024,International Maharishi AyurVeda Foundation,20240626,671,3454,2024,1.0
VWRLYm3qBI4,Global Yoga Day: PM Modi Leads The Way At UN Headquarters,Business Today,20230620,203,3368,2023,1.0
TpTRtaSEGrE,Modi showcases yoga and India's cultural diplomacy on the UN lawn • FRANCE 24 English,FRANCE 24 English,20230621,254,3366,2023,1.0
M7gQJsG1-HQ,PM Modi's video message on International Day of yoga celebration at Jabalpur,PMO India,20230621,715,3311,2023,1.0
mb54KIYrqHg,"LIVE:- Yoga Mahotsav 2026, a curtain raiser to the 100-day countdown to the IDY 2026",Ministry of Ayush,20260313,25295,3232,2026,1.0
zkK_I-VW6wo,Happy International Yoga Day!  | Yoga Poses for a Better You | #internationalyogaday2024,USR Indu Samiti,20240621,257,3232,2024,1.0
GYBNtNIqEvM,"Promo | International Day of Yoga 2025 | Yoga for One Earth, One Health | LIVE from Visakhapatnam",Doordarshan National,20250620,21,3178,2025,1.0
6Ab0gUuhs4w,Watch LIVE: International Day of Yoga 2025 at The Art of Living International Center,Art of Living International Center,20250621,3430,3130,2025,1.0
R1Tv4clN98s,"International Yoga Festival 📍 Parmarth Niketan, Rishikesh",Parmarth Niketan,20251122,145,3099,2025,1.0
uTg5Hj67MsI,"International Yoga Day 2025 | Theme : Yoga for One Earth, One Health",Fact Navigate,20250609,447,3090,2025,1.0
GyQy3n4g-00,SPREADING THE LIGHT OF YOGA TO THE WORLD | INTERNATIONAL DAY OF YOGA 2024 | TWSI,The White School International,20240621,70,3079,2024,1.0
XgbnqeGbSoQ,PM Modi's state visit to the US: International Yoga Day event at UN HQ creates Guinness World Record,WION,20230621,648,3051,2023,1.0
DPyvzFfcVxo,Countdown to IDY 2025 | Yoga Unplugged | Yoga for Young Mind | Shri. Vidyut Jammwal & Kaivalyadhama,Kaivalyadhama Yoga Institute,20250611,4959,3049,2025,1.0
N_c9BgiN46Q,International Yoga Day: PM Modi to lead Yoga Day celebrations with people from over 180 nations,WION,20230621,403,2988,2023,1.0
UG8DzCVxldI,"International Day of Yoga 2023 – Live from Jabalpur, Madhya Pradesh",Ministry of Ayush,20230621,6975,2957,2023,1.0
VbC5UGqsh24,"International Yoga Day 2024: From New York To New Zealand, The World Celebrates Yoga Day | WION",WION,20240621,145,2957,2024,1.0
WnpukzPVEqk,Yoga for Self and Society: SMSIMSR celebrates International Yoga Day 2024 #yogaday,Sri Madhusudan Sai Global Humanitarian Mission,20240621,79,2928,2024,1.0
KGwDpIzZjHQ,"International Celebration of Yoga Day 2024 | Watch the Enthusiasm at Times Square, New York",Oneindia News,20240621,197,2833,2024,1.0
GREtxk36fQ8,"PM Modi: Yoga is accessible to all, free from patents and copyrights | International Yoga Day",WION,20230621,660,2828,2023,1.0
mZsX9tw8FoI,Yoga for All | Focus on Twist -  21 Days IDY 2026 Challenge,Yoga 4 Unity,20260603,4352,2772,2026,1.0
mFKrbvCrs5s,"International Yoga Day 2025 celebrations with the Diplomatic Corps (June 21, 2025)","Ministry of External Affairs, India",20250621,5052,2710,2025,1.0
4qSSo747st4,International Yoga Day 2024: PM Modi leads Yoga Day celebration in Srinagar | WION Originals,WION,20240621,79,2696,2024,1.0
ucLh0_3oE6Y,"Live:- Yoga Connect 2025: A Global Summit on 'Yoga for One Earth, One Health' 🌎",Ministry of Ayush,20250614,13871,2669,2025,1.0
loEP6SecmHE,Modi In US 2023 | Former Diplomat Asoke Mukerji On PM Modi 'Soft Diplomacy Via Yoga' | News18,CNN-News18,20230622,685,2597,2023,1.0
j-f0YHcix90,PM Modi's Video Message On Yoga Day | We Get More Energy From Doing Yoga: PM Modi,India Today,20230621,18765,2596,2023,1.0
eJ86TdGHuEA,Yoga Day 2025 LIVE: Indian PM Narendra Modi Takes Part in International Yoga Day 2025 Celebrations,Firstpost,20250621,4430,2582,2025,1.0
TaMHJzT5GD8,International Yoga Day Special Quiz - International Day of Yoga Quiz - Most Important Questions,MOM&MISHKA,20250617,399,2495,2025,1.0
Plf5Dg4BVsI,27th International Intensive Kriya Yoga Seminar 2026 - Day 7,Kriya Yoga Masters of Kriya Yoga International,20260120,3479,2453,2026,1.0
k2JHTLlqGuE,International Yoga Day A Symbol Of PM Modi’s Successful Diplomacy? India’s Soft Power On The Rise,Times Now,20230621,196,2444,2023,1.0
oYLY4KyNukI,International Yoga Day 2024 | 2024 Theme: Yoga for self and society | World News | WION,WION,20240621,289,2357,2024,1.0
4HdETZiiTyA,"Indian embassy hosts Yoga session at Lincoln Memorial, ahead of International Yoga Day",ANI News,20250620,191,2340,2025,1.0
6LNRlqp86yM,International Yoga Day 2024 centers on 'yoga for self and society',FOX40 News,20240621,290,2325,2024,1.0
IjxKPrNP3vQ,Gurudev’s Message on the Power of Yoga | Yoga Day 2025 Colombia,Gurudev's World,20250623,569,2312,2025,1.0
UVoznB0DW5k,International Yoga Day 2024: Celebrities who have embraced Yoga,WION,20240621,126,2292,2024,1.0
uRZCB0FquO0,The world comes together for #YogaDay at the UN Headquarters!,PMO India,20230621,110,2269,2023,1.0
CusuNrovDJc,One Earth One Health | International Day of #yoga 2025 Theme Explained by Ma. Hanumantharao Ji,Vivekananda Kendra,20250615,1263,2262,2025,1.0
X0f2R6H98BQ,INTERNATIONAL DAY OF YOGA & WORLD MUSIC DAY 2025,DPS MIYAPUR OFFICIAL,20250714,3677,2200,2025,1.0
02u0sbxZMuE,Yoga Day 2023: PM Modi interacts with children at UN headquarters in New York,Republic World,20230621,450,2178,2023,1.0
v29_ChZwR20,"LIVE:- Yoga Mahotsav- 25 Days to #IDY2026 at Western Group of Temples, Khajuraho, Madhya Pradesh",Ministry of Ayush,20260527,7990,2151,2026,1.0
7gZ2hpcA-E0,"INTERNATIONAL DAY OF YOGA 2025 - YOGA FOR ONE EARTH, ONE HEALTH",ICAI CA Tube,20250621,19851,2145,2025,1.0
-WmXnO98QYs,"📡 LIVE:- Yoga Mahotsav – 75 Days to #IDY2026 at Lonar, Buldhana, Maharashtra.",Ministry of Ayush,20260407,2948,2110,2026,1.0
WvRdKQ_kSSY,PM Narendra Modi addresses the people at Dal Lake on International Yoga Day,PMO India,20240621,425,2110,2024,1.0
monxOtArSdE,International Yoga Day | PM Modi To Lead International Yoga Day 2023 Event At United Nations News18,CNN-News18,20230617,463,2098,2023,1.0
TFhoDtY-pUM,International Yoga Day   2024,TNAU TV,20240621,6140,2089,2024,1.0
wq6Dz53epXI,International Yoga Day Drawing/Yoga Day Poster/World Yoga Day Drawing/International Yoga Day 2024,Art and Craft Sara,20240610,548,2044,2024,1.0
e6VrBKMUWdE,International Yoga Day 2025 | Wellness for People & the Planet 🌍🧘‍♂️,Link Bharat,20250621,116,2030,2025,1.0
GJBWWrc5YSs,27th International Intensive Kriya Yoga Seminar 2026 - Day 4,Kriya Yoga Masters of Kriya Yoga International,20260117,3509,2021,2026,1.0
WOQMuj49-IY,Yoga – The bridge between inner peace and global harmony,PMO India,20250621,110,1975,2025,1.0
ro67GOMTxbs,Dance Yoga By RYS Team For 10th International Yoga Day 2024,RESCULPT YOGA STUDIO,20240625,147,1956,2024,1.0
lRC3UxJF3ZM,International Yoga Day 2024,Kadamba International School(KIS) ,20240626,1398,1948,2024,1.0
O9jEWwVDnyc,27th International Intensive Kriya Yoga Seminar 2026 - Day 4,Kriya Yoga Masters of Kriya Yoga International,20260118,3483,1947,2026,1.0
EnaJ6CfZEco,PM Modi LIVE: PM Modi Leads Yoga Session At UN Headquarters | PM Modi In New York  |India Today Live,India Today,20230621,3533,1942,2023,1.0
VPJwv5iWDF4,PM Modi Announces 'Yoga For Vasudhaiva Kutumbakam' As Theme For International Yoga Day,India Today,20230618,1801,1924,2023,1.0
j-uKhBSLL48,PM Modi US state visit | International Yoga Day 2023 theme: World is one family | WION,WION,20230621,1042,1924,2023,1.0
w00785UPnbw,11th International Yoga day 2025,OM YOGA GROUP MORBI,20250620,328,1920,2025,1.0
e0WDBtTr7_o,27th International Intensive Kriya Yoga Seminar 2026 - Day 5,Kriya Yoga Masters of Kriya Yoga International,20260118,3456,1917,2026,1.0
gmbXXidEAS8,International Day of Yoga 2024 | Srinagar | Latest Update | Drishti IAS English,Drishti IAS : English,20240621,142,1895,2024,1.0
Pic_WNIkM2o,INTERNATIONAL YOGA DAY 2025 -THAMARAI INTERNATIONAL SCHOOL PATTUKKOTAI,THAMARAI INTERNATIONAL SCHOOL THANJAVUR,20250622,56,1880,2025,1.0
6knnQMr_FPg,Discussion on International Day of Yoga 2024 | Yoga for Self & Society,Doordarshan Manipur,20240621,3196,1855,2024,1.0
OCyFGMOFKt8,Celebrating International Yoga Day 2024: Power Of Meditation And Mindfulness | India Today News,India Today,20240621,863,1778,2024,1.0
Kxc6ZCb0_yo,"LIVE:- Yoga Mahotsav - 50 Days to #IDY2026 at Kanha Shanti Vanam, Nandigama Mandal, Telangana.",Ministry of Ayush,20260502,10830,1733,2026,1.0
k1o-qz6eCik,Glimpse of International Yoga day 2024 @ Government ITI Hapur | अंतरराष्ट्रीय योग दिवस 2024,Gurukul E-School,20240621,175,1723,2024,1.0
DQG9Bcq3Sgs,International Yoga Day 2024: 10th International day of Yoga across the globe | Latest News | WION,WION,20240621,411,1719,2024,1.0
FKOpBDx-IMk,International Day Of Yoga 2025,BSF_India,20250621,5445,1705,2025,1.0
ISft6hv2hZE,International Day of Yoga 2024: Countdown Begins - 12 Days to Go,Ministry of Ayush,20240609,25,1663,2024,1.0
9R5j7aIbpq0,International Day of Yoga | 2024,NIPARS Official,20240620,249,1656,2024,1.0
hqSZI4xHvw8,PM Modi Leads Yoga Day Celebrations At UN Headquarters | PM Modi's 1st State Visit To US | NewsX,NewsX Live,20230621,3783,1651,2023,1.0
NQkMW-u_Yqw,"Yoga Day 2025: PM Modi’s ‘One Earth, One Health’ Message Unites Wellness & Sustainability",DD India,20250621,179,1639,2025,1.0
yO0OUE_6WLM,INTERNATIONAL DAY OF YOGA :-                    21 JUNE 2024 #yoga  #internationaldayofyoga2024,AGRASEN DAVPS,20240621,239,1618,2024,1.0
MAoKHa-fj0E,International Yoga Day 2025 | Yoga Performance | Bliss Yoga Udupi,Bliss Yoga Academy ,20250621,220,1602,2025,1.0
PfkCT5wiyE8,10th edition of International Day of Yoga | WION Dispatch,WION,20240621,320,1593,2024,1.0
lA9dHOAGUjs,"PM Modi In US | ""Yoga Is Way Of Life"": PM Modi Leads Yoga Event At UN",NDTV,20230621,4023,1587,2023,1.0
HiwvlEsy2rs,PM Modi’s Speech at International Day of Yoga in Visakhapatnam | Eng Subtitles,PMO India,20251223,1029,1582,2025,1.0
ijS-ruHh_-8,PM Modi US Visit LIVE News | PM Modi’s International Yoga Day Event At UN HQ Creates World Record,CNN-News18,20230621,3485,1552,2023,1.0
bMY2KUyz330,Importance of Yoga by Sadhguru | International Day of Yoga 2024,Ministry of Ayush,20240619,74,1543,2024,1.0
FKM4aOluMsI,International Day of Yoga 2025: How India Is Connecting The World Through Yoga | World News | WION,WION,20250621,239,1541,2025,1.0
HSYN-yVTbqI,INTERNATIONAL YOGA DAY - 2024,GREEN VALLEY INTERNATIONAL SCHOOL,20240621,138,1523,2024,1.0
uQg6BrQaXOM,"International Yoga Festival 2026 – Day 1 Opening | Parmarth Niketan, Rishikesh",Parmarth Niketan,20260310,152,1464,2026,1.0
pUDMxxoNe88,International Yoga Day - Gouthami Vidya Niketan High School 2024,Gouthami VidyaNiketan High School ,20240623,120,1445,2024,1.0
KSzORKlymhM,International Yoga Day 2024 #yoga,EVAULTO,20240620,64,1432,2024,1.0
AkLEk8bb7RI,International Day of YOGA 2024 | SRI C. P. RADHAKRISHNAN | Hon'ble Governor of Telangana | Kanha,Yoga 4 Unity,20240621,8760,1424,2024,1.0
UHhXcXrHbFA,International Yoga Day 2024 Special | Yoga With Smita | Yoga for Kids,Smita Bansal #Smitasb,20240621,259,1396,2024,1.0
keKQxTcz74I,International Day of Yoga 2025,Christ Academy Media Production,20250621,88,1375,2025,1.0
laKrFedAIYs,"21 Jun 25: International Day of Yoga Celebration 2025 | 7 - 9 AM | Yoga Wellness Center, BANGALORE",Yoga Wellness Center,20250621,8536,1368,2025,1.0
