video_id,title,channel,upload_date,query
C4rZ8SA8YuQ,CANDY LEI $4 DOLLAR TREE DIY | EASY GRADUATION CANDY LEI INSTRUCTIONS🌟,Auntie Coo Coo,,IDY 2026
zTnVMm6YVXs,"""Yoga for Self and Society"" ---Yoga Day 2024@strs",acts_of_santomites,,Yoga for Self and Society
IGPbozHK7sg,"#DIY vow to take the WWE Tag Team Titles from The Bloodline: SmackDown exclusive, Sept. 13, 2024",WWE,,IDY 2024
n1F9VmD1gmg,Floor yoga for MS | MS Society,MS Society UK,,Yoga for Self and Society
KsXEGvWp52Y,Fathers Day Card Easy | DIY Father's Day Gift Ideas 2026 | White Paper Father's Day Card,Aashus Art,,IDY 2026
ckQIyUR-YYQ,"International Yoga Day | Yoga Has Become A Ray Of Hope When World Fights Covid-19, Says PM Modi",India Today,,Narendra Modi International Day of Yoga
g8MvYG7afaE,YOGA DAY SONG For Ministry Of Ayush,Kailasa Records ,,Ministry of Ayush International Day of Yoga
Jp5n2uTR6oA,“Finding Balance and Calmness through Yoga-Meditation” | 2024 International Yoga Day | English,Yogoda Satsanga Society of India,,International Day of Yoga 2024
iMzIhaybONE,"Civil Aviation Ministry, AAI organise 9th International Yoga Day",ANI News,,Indian Diplomacy International Day of Yoga
ISu5u2-Q_Es,Essay/Speech on International Yoga Day 2024 Theme:Yoga for Self and Society Essay/Speech Yoga Day,Privi Creation,,Yoga for Self and Society
vhJC5aCBf-Q,ISC Qatar | Rhythmic Yoga Display during Int'l Day of Yoga 2025,Indian Sports Centre,,International Day of Yoga 2025
Y2WK3DEIVo4,DIYショウ2024で話題になった最新工具！【Vol.548】,ファクトリーギア 高野倉 匡人 (MASATO TAKANOKURA / FACTORY GEAR),,IDY 2024
zgUnmoFOTts,6th International Day of Yoga | PM Modi's appeal to people !,BETON BRUT,,PMO India International Day of Yoga
C4E7XhmgbzU,AMAZING VACATION HACKS AND DIY TRAVEL TIPS || Cool Hacks For The Best Vacation by 123 GO! SERIES,123 GO! Series,,IDY 2024
7VDyCao6N8I,10 Inspiring Furniture Flips for 2024 | DIY Furniture Makeovers,Christina Muscari,,IDY 2024
h7cDzRJTBqE,"International Yoga Day 2025: मोदी का योग मंत्र, अचूक अभेद्य सेहत का फ्रंट | Top News | Speech",Bharat 24 - Vision Of New India ,,International Day of Yoga 2025
OUvg2rnnn-M,"For International Yoga Day, Bollywood A-listers as ambassadors and PM Modi the show stopper",NDTV,,Indian Diplomacy International Day of Yoga
ME87dbGdD8E,2024年まとめ！倹約DIYコスパ良好グッズをご紹介します！,倹約DIY,,IDY 2024
I9eEQY1TpTY,etrailer | Roadmaster Rear Anti-Sway Bar DIY Installation - 2024 Ram 3500,etrailer,,IDY 2024
hl3lWfLfDwA,Ayush Ministry Seeks ISRO's Assistance | for Satellite Imagery | on International Day of Yoga,ETV Telangana,,Ministry of Ayush International Day of Yoga
K00r2GsUhic,"""Yoga for All: Celebrating International Yoga Day with Youth Veerangnayen""",Youth Veerangnayen,,International Day of Yoga 2024
0AkDM00AgRM,Yoga with Modi | Bhujangasana,Ministry of Tourism,,PMO India International Day of Yoga
QuGLcWPyvRQ,International Yoga Day 2026 | Yoga for Healthy Ageing | Can Yoga Slow Aging?,Fact Navigate,,International Day of Yoga 2026
woDftJ5-_hk,PM Modi Leads International Yoga Day Celebrations; Experts Discuss Issue | Latest News,Times Now,,Narendra Modi International Day of Yoga
bMY2KUyz330,Importance of Yoga by Sadhguru | International Day of Yoga 2024,Ministry of Ayush,,International Day of Yoga 2024
Iyx7desT8h8,🔴 LIVE | Yoga Mahotsav 2026 — 25 Days to International Day of Yoga 2026,Morarji Desai National Institute of Yoga (MDNIY),,International Day of Yoga 2026
AbPooEFUSlw,How to make bead hand Bag || DIY 2026,Snaday Khmer Art,,IDY 2026
4jPN7u2Bits,Easy Happy Birthday Card 🎂 | How to make Birthday Card for Friend | Best DIY Birthday Card | 2026,Brighty Art and Craft,,IDY 2026
3PKwdy_7Ttg,"The ""Yoga for All"" campaign, dedicated to the upcoming International Yoga Day in 2026",IYO® International Yoga Organisation,,International Day of Yoga 2026
YLY5hrkQgWY,"International Yoga Festival 2026📍 Parmarth Niketan, Rishikesh | Day 2: Yoga, Music, Ganga Aarti",Parmarth Niketan,,International Day of Yoga 2026
VsGPjzPndHc,"International Yoga Day: ""Yoga Brings People Together"", Says PM Modi",NDTV,,Narendra Modi International Day of Yoga
j_k06bihD-0,I Tested Dumb Viral DIY TIkToks,John Malecki,,IDY 2024
zstIiKYdu14,"#DIY take down “Dirty” Dominik Mysterio & JD McDonagh: Raw highlights, Jan. 15, 2024",WWE,,IDY 2024
AY8cNUWAEpg,International Yoga Day 2023,Rvim Youtube Channel official,,Ministry of Ayush International Day of Yoga
bnKWCuyZQy0,Yoga for Self and Society | IDY 2024 with YENRI,YENRI,,Yoga for Self and Society
nvvUpRFYpZk,"INTERNATIONAL YOGA 🧘 DAY 2025 |Yoga for One Earth, One Health Simple, Yoga flow for Beginners",VEDA'S YOGA,,Yoga for One Earth One Health
