title,year,authors,venue,citations,url
"Indian Diplomacy, Yoga, and New Age in Serbia",2020,['C Endresen'],Handbook of Hinduism in Europe (2 vols),1,https://brill.com/downloadpdf/display/book/edcoll/9789004432284/BP000067.pdf
Legal Yoga,2020,"['SS Kale', 'CL Novetzke']",The Oxford History of Hinduism: Hindu …,1,https://books.google.com/books?hl=en&lr=&id=4yT3DwAAQBAJ&oi=fnd&pg=PA404&dq=International+Day+of+Yoga&ots=gkXYtkYJdp&sig=butt51ghybpyIlCNYBguBWMZS9Y
"Āyurveda, Yoga Tourism, and New Hindu Movements in Montenegro",2020,['C Endresen'],Handbook of Hinduism in Europe (2 vols),1,https://brill.com/downloadpdf/display/book/9789004432284/BP000059.pdf
Role of yoga in cardiac disease and rehabilitation,2019,"['RR Guddeti', 'G Dang', 'MA Williams']",Journal of …,102,https://journals.lww.com/jcrjournal/fulltext/2019/05000/Role_of_Yoga_in_Cardiac_Disease_and_Rehabilitation.3.aspx
Effects of yoga asana practice approach on types of benefits experienced,2019,"['C Wiese', 'D Keil', 'AS Rasmussen']",International journal of …,33,https://journals.lww.com/ijoy/fulltext/2019/12030/Effects_of_Yoga_Asana_Practice_Approach_on_Types.5.aspx
# Yoga on instagram: Understanding the nature of yoga in the online conversation and community,2019,"['J Lacasse', 'S Santarossa']",International Journal of …,27,https://journals.lww.com/ijoy/fulltext/2019/12020/_yoga_on_instagram__understanding_the_nature_of.11.aspx
"A bridge too far: yoga, spirituality, and contested space in the Pacific Northwest",2019,['P Bramadat'],"Religion, State & Society",21,https://www.tandfonline.com/doi/abs/10.1080/09637494.2019.1678977
Yoga for every (body)? A critical analysis of the evolution of yoga representation across four decades in Yoga Journal,2019,"['N Bhalla', 'L Moscowitz']",Journal of Magazine Media,18,https://muse.jhu.edu/pub/17/article/724408/summary
Celebrating Life with Yoga,2019,['A Bhardwaj'],NA,2,https://books.google.com/books?hl=en&lr=&id=RgSuDwAAQBAJ&oi=fnd&pg=PT12&dq=International+Day+of+Yoga&ots=jcVcoMmifj&sig=qcxfnhkorfylbI6fkAZ7ac1fB3Q
"India's soft power diplomacy under the Modi administration: Buddhism, diaspora and yoga",2018,['A Mazumdar'],Asian Affairs,113,https://www.tandfonline.com/doi/abs/10.1080/03068374.2018.1487696
